,AirframeTime,Bonus,EngineTime,Equipment,FeeOwed,FuelPct,Home,LeasedFrom,Location,LocationName,MakeModel,MonthlyFee,NeedsRepair,Owner,Registration,RentalDry,RentalTime,RentalType,RentalWet,RentedBy,SalePrice,SellbackPrice,SerialNumber,TimeLast100hr
0,47 days 21:55:00.000000000,0,47 days 21:55:00.000000000,IFR/AP/GPS,0.00,0.16,KSFO,NA,KLGA,"La Guardia, New York, New York, United States",Boeing 747-400,0.00,0,Bank of FSE,N-863FC,0.00,57600,hour,0.00,Not rented.,0.00,0.00,44791,0 days 23:49:00.000000000
1,59 days 11:15:00.000000000,0,59 days 11:15:00.000000000,IFR/AP/GPS,0.00,0.24,OMDB,NA,KORD,"Chicago-O'Hare Intl, Chicago, Illinois, United States",Boeing 747-400,0.00,0,Bank of FSE,A6-JJB,0.00,57600,hour,0.00,Not rented.,0.00,0.00,44792,3 days 11:44:00.000000000
2,53 days 07:40:00.000000000,0,53 days 07:40:00.000000000,IFR/AP/GPS,0.00,1.00,YSSY,NA,FACT,"Cape Town Intl, Cape Town, South Africa",Boeing 747-400,0.00,0,Bank of FSE,VH-MQV,0.00,57600,hour,0.00,rrose2,0.00,0.00,44793,1 days 23:35:00.000000000
3,61 days 15:08:00.000000000,0,61 days 15:08:00.000000000,IFR/AP/GPS,0.00,1.00,EGLL,NA,KSFO,"San Francisco Intl, San Francisco, California, United States",Boeing 747-400,0.00,0,Bank of FSE,G-HQNF,0.00,57600,hour,0.00,frg016,0.00,0.00,44794,1 days 18:31:00.000000000
4,46 days 04:08:00.000000000,0,46 days 04:08:00.000000000,IFR/AP/GPS,0.00,0.55,MMMX,NA,KDFW,"Dallas-Ft Worth Intl, Dallas-Ft Worth, Texas, United States",Boeing 747-400,0.00,0,Bank of FSE,XB-NIC,0.00,57600,hour,0.00,Not rented.,0.00,0.00,44795,3 days 15:00:00.000000000
5,42 days 09:07:00.000000000,0,42 days 09:07:00.000000000,IFR/AP/GPS,0.00,1.00,KSEA,NA,In Flight,In Flight,Boeing 747-400,0.00,0,Bank of FSE,N-424US,0.00,57600,hour,0.00,Captain_James,0.00,0.00,44796,3 days 23:18:00.000000000
6,44 days 01:55:00.000000000,0,44 days 01:55:00.000000000,IFR/AP/GPS,0.00,0.08,KLAX,NA,RKSI,"Incheon Intl, Seoul/Incheon, Korea",Boeing 747-400,0.00,0,Bank of FSE,N-565KY,0.00,57600,hour,0.00,Not rented.,0.00,0.00,44797,1 days 15:00:00.000000000
7,49 days 04:42:00.000000000,0,49 days 04:42:00.000000000,IFR/AP/GPS,0.00,0.11,LFPG,NA,CYYZ,"Toronto/Pearson Intl, Toronto, Ontario, Canada",Boeing 747-400,0.00,0,Bank of FSE,F-VLOC,0.00,36000,hour,0.00,Not rented.,0.00,0.00,44798,2 days 04:47:00.000000000
8,19 days 02:37:00.000000000,0,19 days 02:37:00.000000000,IFR/AP/GPS,0.00,0.96,RKSI,NA,KDFW,"Dallas-Ft Worth Intl, Dallas-Ft Worth, Texas, United States",Boeing 747-400,0.00,0,Bank of FSE,HL-3837,0.00,57600,hour,0.00,Not rented.,0.00,0.00,44799,2 days 02:20:00.000000000
9,44 days 18:56:00.000000000,0,44 days 18:56:00.000000000,IFR/AP/GPS,0.00,0.77,PANC,NA,CYYC,"Calgary Intl, Calgary, Alberta, Canada",Boeing 747-400,0.00,0,Bank of FSE,N-56372,0.00,57600,hour,0.00,Not rented.,0.00,0.00,44800,2 days 06:31:00.000000000
10,23 days 20:50:00.000000000,0,23 days 20:50:00.000000000,IFR/AP/GPS,0.00,1.00,71TE,NA,KMIA,"Miami Intl, Miami, Florida, United States",Boeing 747-400,0.00,0,Bank of FSE,N-3985O,0.00,36000,hour,0.00,Not rented.,0.00,0.00,44801,2 days 16:15:00.000000000
11,34 days 14:40:00.000000000,0,34 days 14:40:00.000000000,IFR/AP/GPS,0.00,0.16,RJAA,NA,KDFW,"Dallas-Ft Worth Intl, Dallas-Ft Worth, Texas, United States",Boeing 747-400,0.00,0,Bank of FSE,JA-2212,0.00,36000,hour,0.00,Not rented.,0.00,0.00,44802,0 days 10:53:00.000000000
12,42 days 20:50:00.000000000,0,42 days 20:50:00.000000000,IFR/AP/GPS,0.00,0.08,21N,NA,TNCM,"Princess Juliana Intl, St Maarten Is., Netherlands Antilles",Boeing 747-400,0.00,0,Bank of FSE,N-5640U,0.00,36000,hour,0.00,Not rented.,0.00,0.00,44803,0 days 03:35:00.000000000
13,47 days 16:35:00.000000000,0,47 days 16:35:00.000000000,IFR/AP/GPS,0.00,0.75,LFPG,NA,In Flight,In Flight,Boeing 747-400,0.00,0,Bank of FSE,F-DRJN,0.00,36000,hour,0.00,RaduVoda,0.00,0.00,44804,0 days 12:44:00.000000000
14,13 days 11:50:00.000000000,0,13 days 11:50:00.000000000,IFR/AP/GPS,0.00,1.00,7MN4,NA,CYYC,"Calgary Intl, Calgary, Alberta, Canada",Boeing 747-400,0.00,0,Bank of FSE,N-23446,0.00,36000,hour,0.00,sxhill,0.00,0.00,44805,0 days 17:07:00.000000000
